Sample	Group
hgsvc_HG00171	FIN
hgsvc_HG00513	CHS
hgsvc_HG01573	PEL
hgsvc_HG01890	ACB
hgsvc_HG01352	CLM
hgsvc_HG04217	ITU
hgsvc_NA19983	ASW
hgsvc_NA12329	CEU
hgsvc_NA19705	ASW
hgsvc_HG00268	FIN
hgsvc_HG00732	PUR
hgsvc_HG00864	CDX
hgsvc_HG00358	FIN
hgsvc_HG00512	CHS
hgsvc_HG03452	MSL
hgsvc_HG03065	MSL
hgsvc_HG02769	GWD
hgsvc_HG02018	KHV
hgsvc_HG01596	KHV
hgsvc_HG03248	GWD
hgsvc_HG02587	GWD
hgsvc_HG02106	PEL
hgsvc_HG02492	PJL
hgsvc_HG01457	CLM
hgsvc_NA19239	YRI
hgsvc_NA19347	LWK
hgsvc_NA18534	CHB
hgsvc_HG00096	GBR
hgsvc_HG03371	ESN
hgsvc_HG02011	ACB
hgsvc_HG02059	KHV
hgsvc_HG00731	PUR
hgsvc_NA18939	JPT
hgsvc_HG01114	CLM
hgsvc_NA18989	JPT
hgsvc_HG03009	BEB
hgsvc_HG00514	CHS
hgsvc_HG02282	ACB
hgsvc_HG03732	ITU
hgsvc_HG03807	BEB
hgsvc_HG04036	STU
hgsvc_NA19836	ASW
hgsvc_NA20509	TSI
hgsvc_HG03456	MSL
hgsvc_NA19317	LWK
hgsvc_NA19331	LWK
hgsvc_HG02953	ESN
hgsvc_HG02554	ACB
hgsvc_HG01505	IBS
hgsvc_HG03520	ESN
hgsvc_HG03683	STU
hgsvc_HG02666	GWD
hgsvc_NA19238	YRI
hgsvc_NA19384	LWK
hgsvc_NA20355	ASW
hgsvc_NA19129	YRI
hgsvc_NA19434	LWK
hgsvc_NA19650	MXL
hgsvc_NA20847	GIH
