Sample	Group
HG01891	female
HG00673	male
HG00438	female
HG01071	female
HG00735	female
HG00741	female
HG01175	female
HG01106	male
HG01952	male
HG02148	female
HG01928	male
HG01978	female
HG03471	male
HG03579	male
HG03453	female
HG00621	male
HG02622	female
HG03540	female
HG02486	male
HG02257	female
HG01358	male
HG01123	female
HG01361	female
HG02559	female
HG03516	female
HG02572	male
HG02886	female
HG02717	male
HG02630	female
HG01258	male
HG04184	female
HG01433	male
HG01993	female
HG03831	female
HG01346	female
HG00642	male
HG03927	female
HG00738	male
HG02647	male
HG02300	female
HG02280	female
HG01884	female
HG01496	female
HG00609	male
HG01981	female
HG02004	female
HG01099	male
HG02809	female
HG01943	male
HG02293	female
HG01934	male
HG02615	female
HG02738	male
HG03669	female
HG01255	male
HG00706	male
HG00544	female
HG00423	female
HG02027	male
HG02083	male
HG02523	female
HG02132	male
HG02074	male
HG02071	male
HG03942	male
HG04187	male
HG03804	female
HG04160	male
HG02135	male
HG03816	female
HG02668	male
HG04157	male
HG04115	male
HG04204	male
HG03688	male
HG04199	male
HG04228	male
HG02698	male
HG03654	male
HG02602	male
HG03710	male
HG02155	female
HG02922	female
HG00323	female
HG00140	male
HG02165	female
NA18971	male
NA19338	female
NA19468	female
NA19391	female
HG03130	male
NA18522	male
HG03209	male
NA18983	male
HG03470	female
HG02040	male
HG01784	female
NA19159	female
HG03139	male
NA19043	male
HG03742	male
NA20799	female
HG01530	male
NA20905	male
NA18747	male
NA20752	male
HG00099	female
NA20805	male
NA19087	female
NA18570	female
HG02391	male
NA19185	female
HG00280	male
HG03195	female
HG02965	male
HG01074	male
HG02129	male
HG02258	male
HG03834	female
HG01192	male
HG02056	male
HG03041	female
HG01975	female
HG02015	male
HG00597	female
HG02451	female
HG02735	male
HG03704	female
HG02976	female
HG01261	male
HG00639	female
HG00408	female
HG03239	female
HG03225	male
HG01081	female
HG02273	female
HG00558	female
HG01252	male
HG01969	female
HG01150	female
HG02514	male
HG00658	male
HG01940	female
HG03050	male
HG02984	male
HG02841	female
HG01960	female
HG03017	male
HG03369	female
NA21102	female
NA20809	male
NA18565	female
HG00235	female
HG00097	female
NA19835	female
NA20850	male
NA18879	male
HG00272	female
HG02583	female
HG00253	female
HG01167	male
HG00350	female
HG00126	male
NA20762	male
NA21110	female
NA20870	male
NA18976	female
NA18952	male
NA18974	male
NA18608	male
NA18620	male
HG02178	female
HG02392	male
HG03874	female
NA19700	male
NA19682	male
NA19776	female
NA20346	male
NA20282	female
NA19909	female
HG00344	female
NA18508	female
HG03521	male
NA20827	male
NA21144	female
NA20806	male
HG03784	female
HG00329	male
HG03583	female
NA18505	female
NA19036	female
NA21093	male
HG00128	female
HG00290	male
HG00133	female
HG00321	male
HG00232	female
HG00146	female
HG01786	female
HG00320	female
HG03270	female
NA20503	female
NA21106	female
NA19443	male
HG02055	male
HG02145	male
HG02723	female
HG01243	male
HG01109	male
HG02080	female
NA21309	female
NA20129	female
NA19240	female
NA18906	female
HG03486	female
HG02109	female
HG03098	male
HG02818	female
HG00733	female
NA18940	male
NA18943	male
NA18944	male
NA18945	male
NA18948	male
NA18959	male
NA18960	male
NA18967	male
NA18970	male
NA18982	male
HG005	male
HG06807	female
hgsvc_HG00096	male
hgsvc_HG00171	female
hgsvc_HG00268	female
hgsvc_HG00358	male
hgsvc_HG00512	male
hgsvc_HG00513	female
hgsvc_HG00514	female
hgsvc_HG00731	male
hgsvc_HG00732	female
hgsvc_HG00864	female
hgsvc_HG01114	female
hgsvc_HG01352	female
hgsvc_HG01457	male
hgsvc_HG01505	male
hgsvc_HG01573	female
hgsvc_HG01596	male
hgsvc_HG01890	male
hgsvc_HG02011	male
hgsvc_HG02018	female
hgsvc_HG02059	female
hgsvc_HG02106	female
hgsvc_HG02282	female
hgsvc_HG02492	male
hgsvc_HG02554	male
hgsvc_HG02587	female
hgsvc_HG02666	male
hgsvc_HG02769	female
hgsvc_HG02953	male
hgsvc_HG03009	male
hgsvc_HG03065	male
hgsvc_HG03248	male
hgsvc_HG03371	male
hgsvc_HG03452	female
hgsvc_HG03456	male
hgsvc_HG03520	female
hgsvc_HG03683	female
hgsvc_HG03732	male
hgsvc_HG03807	female
hgsvc_HG04036	female
hgsvc_HG04217	female
hgsvc_NA12329	female
hgsvc_NA18534	male
hgsvc_NA18939	female
hgsvc_NA18989	male
hgsvc_NA19129	female
hgsvc_NA19238	female
hgsvc_NA19239	male
hgsvc_NA19317	male
hgsvc_NA19331	male
hgsvc_NA19347	male
hgsvc_NA19384	male
hgsvc_NA19434	female
hgsvc_NA19650	male
hgsvc_NA19705	male
hgsvc_NA19836	female
hgsvc_NA19983	female
hgsvc_NA20355	female
hgsvc_NA20509	male
hgsvc_NA20847	female
hgsvc_NA21487	female
hgsvc_NA24385	male
